Price;Generation;Body;Engine;Transmission;Drive;Steering Wheel;Color;Customs
₸14 750 000,00;2009 - 2013 J150;Внедорожник;2.7 (бензин);Автомат;Полный привод;Слева;черный металлик;Да
₸5 100 000,00;2020 - н.в. 1 поколение;Седан;1.5 (бензин);Автомат;Передний привод;Слева;серый металлик;Да
₸4 300 000,00;2001 - 2005 C5 рестайлинг;Универсал;2.5 (дизель);Автомат;Полный привод;Слева;черный металлик;Да
₸5 000 000,00;2007 - 2010 E60/E61 рестайлинг;Седан;2.5 (бензин);Автомат;Задний привод;Слева;синий металлик;Да
₸32 000 000,00;2013 - н.в. 2 поколение рестайлинг (URJ15/GRJ15);Внедорожник;4.6 (бензин);Автомат;Полный привод;Слева;серый металлик;Да
₸28 000 000,00;2021 - н.в. 1 поколение;Кроссовер;;Робот;Полный привод;Слева;черный металлик;Да
₸7 400 000,00;2010 - 2014 3 поколение (SL);Кроссовер;2.4 (бензин);Автомат;Полный привод;Слева;белый;Да
₸1 650 000,00;1988 - 1993 B3;Седан;1.8 (бензин);Механика;Передний привод;Слева;;Да
₸8 600 000,00;2014 - н.в. 5 поколение (D10);Кроссовер;2 (бензин);Вариатор;Полный привод;Слева;коричневый;Да
₸1 850 000,00;1993 - 1997 B4;Седан;1.8 (бензин);Механика;Передний привод;Слева;белый;Да
₸4 650 000,00;2015 - н.в. 1 поколение;Седан;1.6 (бензин);Механика;Передний привод;Слева;серый металлик;Да
₸5 600 000,00;2007 - 2011 B8;Седан;1.8 (бензин);Вариатор;Передний привод;Слева;черный металлик;Да
₸3 800 000,00;2015 - н.в. 1 поколение;Седан;1.5 (бензин);Механика;Передний привод;Слева;черный;Да
₸6 800 000,00;2006 - 2014 4 поколение (KAxT/KBxT);Пикап;2.5 (дизель);Механика;Полный привод;Слева;серый металлик;Да
₸5 500 000,00;1987 - 1998 Y60 (Y60/GR);Внедорожник;4.2 (бензин);Механика;Полный привод;Слева;белый;Да
₸3 800 000,00;1994 - 1998 E38;Седан;4.4 (бензин);Автомат;Задний привод;Слева;серый металлик;Да
₸10 500 000,00;2006 - 2018 W906;Фургон;2.7 (дизель);Механика;Задний привод;Слева;белый;Да
₸5 000 000,00;2014 - н.в. 1 поколение;Кроссовер;1.6 (бензин);Вариатор;Передний привод;Слева;синий металлик;Да
₸6 000 000,00;2002 - 2005 W220 рестайлинг;Седан;5 (бензин);Автомат;Задний привод;Слева;серебристый металлик;Да
₸29 000 000,00;2016 - н.в. 5 поколение (L462);Внедорожник;3 (бензин);Автомат;Полный привод;Слева;оранжевый металлик;Да
₸15 000 000,00;2008 - 2017 2 поколение (K6);Внедорожник;5.7 (бензин);Автомат;Полный привод;Слева;;Да
₸1 400 000,00;1991 - 1996 B4;Седан;2 (бензин);Механика;Передний привод;Слева;;Да
₸1 200 000,00;1990 - 1994 4 поколение (C4);Седан;2 (бензин);Механика;Передний привод;Слева;серебристый;Да
₸15 500 000,00;2021 - 2024 1 поколение;Кроссовер;2 (бензин);Робот;Полный привод;Слева;белый;Да
₸4 500 000,00;1998 - 2003 E46;Седан;2.8 (бензин);Механика;Задний привод;Слева;серебристый металлик;Да
₸3 500 000,00;1993 - 1997 W124 [2-й рестайлинг];Купе;2.2 (бензин);Автомат;Задний привод;Слева;черный;Да
